date,skhynix,kospi,krw,dxy,smh,gold,mag7,skh_volume
2020-04-01,73585.046875,1685.4599609375,1216.6600341796875,99.66999816894531,53.63628005981445,1578.199951171875,348.8917263823046,6845675.0
2020-04-02,75086.7578125,1724.8599853515625,1234.72998046875,100.18000030517578,55.08161163330078,1625.699951171875,350.85614538496526,5394371.0
2020-04-03,74711.34375,1725.43994140625,1226.8499755859375,100.58000183105469,53.97834396362305,1633.699951171875,347.3920491921294,3755301.0
2020-04-06,77996.390625,1791.8800048828125,1235.800048828125,100.69000244140625,59.345340728759766,1677.0,374.24283145012714,5784159.0
2020-04-07,80530.5546875,1823.5999755859375,1223.0999755859375,99.9800033569336,59.16226577758789,1664.800048828125,375.4799515019882,6188649.0
2020-04-08,79310.40625,1807.1400146484375,1215.31005859375,100.12000274658203,61.12309646606445,1665.4000244140625,383.02594114919117,3749575.0
2020-04-09,79779.6796875,1836.2099609375,1214.75,99.5199966430664,59.67776870727539,1736.199951171875,385.2190511654455,3555538.0
2020-04-13,76400.78125,1825.760009765625,1211.0400390625,99.3499984741211,60.458248138427734,1744.800048828125,398.42336313436715,3615318.0
2020-04-14,77245.5078125,1857.0799560546875,1213.9000244140625,98.88999938964844,63.10319900512695,1756.699951171875,418.85386461497643,3344109.0
2020-04-15,77245.5078125,1857.0799560546875,1212.3800048828125,99.45999908447266,61.402530670166016,1727.199951171875,418.5280620602507,3344109.0
2020-04-16,76306.8984375,1857.0699462890625,1222.550048828125,100.02999877929688,63.030948638916016,1720.4000244140625,427.2989541815087,4470072.0
2020-04-17,78934.9765625,1914.530029296875,1226.6400146484375,99.77999877929688,63.647605895996094,1689.199951171875,428.43195827950666,6205624.0
2020-04-20,76963.953125,1898.3599853515625,1215.260009765625,99.95999908447266,62.298641204833984,1701.5999755859375,423.4987384596342,5027876.0
2020-04-21,76306.8984375,1879.3800048828125,1218.0999755859375,100.26000213623047,59.50914001464844,1678.199951171875,403.99898513500887,5090721.0
2020-04-22,78747.2578125,1896.1500244140625,1230.8499755859375,100.38999938964844,62.871952056884766,1728.699951171875,421.8876228201162,5335787.0
2020-04-23,77527.0859375,1914.72998046875,1231.3800048828125,100.43000030517578,62.2938232421875,1733.300048828125,420.7018341217333,6519481.0
2020-04-24,76400.78125,1889.010009765625,1232.449951171875,100.37999725341797,63.5512580871582,1723.5,428.48835187757965,3193144.0
2020-04-27,77527.0859375,1922.77001953125,1229.5,100.04000091552734,64.3365478515625,1711.9000244140625,433.88573094387334,3235430.0
2020-04-28,78277.953125,1934.0899658203125,1220.8699951171875,99.87000274658203,63.907772064208984,1710.5,422.8699953608862,3205535.0
2020-04-29,78559.5234375,1947.56005859375,1220.4000244140625,99.56999969482422,66.90925598144531,1703.4000244140625,442.03894427436296,3750568.0
2020-04-30,78559.5234375,1947.56005859375,1210.7900390625,99.0199966430664,64.42809295654297,1684.199951171875,447.39523204911455,3750568.0
2020-05-01,78559.5234375,1947.56005859375,1212.9599609375,98.80000305175781,61.39289855957031,1694.5,428.7911032646283,3750568.0
2020-05-04,76025.359375,1895.3699951171875,1223.780029296875,99.4800033569336,62.07219696044922,1706.9000244140625,440.06710067061016,5280026.0
2020-05-05,76025.359375,1895.3699951171875,1222.449951171875,99.70999908447266,62.881591796875,1704.4000244140625,444.6324414433625,5280026.0
2020-05-06,77339.375,1928.760009765625,1221.25,100.08999633789062,63.618709564208984,1684.199951171875,449.1457336455639,3351424.0
2020-05-07,77339.375,1928.6099853515625,1228.530029296875,99.88999938964844,64.19684600830078,1721.800048828125,453.92703820540044,2660512.0
2020-05-08,79779.6796875,1945.8199462890625,1218.6300048828125,99.7300033569336,65.83488464355469,1709.9000244140625,462.07262277871723,5039635.0
2020-05-11,79310.40625,1935.4000244140625,1218.699951171875,100.23999786376953,65.86861419677734,1695.300048828125,467.289630833547,2800047.0
2020-05-12,80436.703125,1922.1700439453125,1222.4000244140625,99.93000030517578,64.05713653564453,1704.4000244140625,458.90630256443,3574409.0
2020-05-13,78465.6875,1940.4200439453125,1225.6500244140625,100.23999786376953,62.920127868652344,1713.9000244140625,452.8825817301265,5371416.0
2020-05-14,75649.9375,1924.9599609375,1226.550048828125,100.47000122070312,64.68343353271484,1738.0999755859375,458.1582578359121,6409652.0
2020-05-15,76870.0859375,1927.280029296875,1225.4599609375,100.4000015258789,63.20919418334961,1753.4000244140625,464.6941426386837,4168866.0
